Gene,Transcript,Motif,Cluster,q_value
Acad10,ENSMUST00000111770.2,mmu-miR-328-5p,nucleoplasm_positive,0.0438
Acad10,ENSMUST00000111770.2,mmu-miR-762,nucleus_positive,0.0433
Acad10,ENSMUST00000111770.2,mmu-miR-466n-5p,nucleus_positive,0.0291
Acad10,ENSMUST00000133775.8,mmu-miR-762,nucleus_positive,0.0433
Acad10,ENSMUST00000133775.8,mmu-miR-466n-5p,nucleus_positive,0.0291
Acad10,ENSMUST00000137231.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0455
Acad10,ENSMUST00000137789.8,mmu-miR-762,nucleus_positive,0.0433
Acad10,ENSMUST00000137789.8,mmu-miR-466n-5p,nucleus_positive,0.0291
Actb,ENSMUST00000100497.11,mmu-miR-3473b,nucleus_positive,0.0389
Actb,ENSMUST00000100497.11,mmu-miR-5126,nucleus_positive,0.0377
Actb,ENSMUST00000106216.3,mmu-miR-5126,nucleus_positive,0.0377
Actb,ENSMUST00000164765.2,mmu-miR-5126,nucleus_positive,0.0377
Actb,ENSMUST00000165629.2,mmu-miR-5126,nucleus_positive,0.0377
Actb,ENSMUST00000167721.8,mmu-miR-3473b,nucleus_positive,0.0389
Actb,ENSMUST00000167721.8,mmu-miR-5126,nucleus_positive,0.0377
Actb,ENSMUST00000171419.8,mmu-miR-3473b,nucleus_positive,0.0389
Actb,ENSMUST00000171419.8,mmu-miR-5126,nucleus_positive,0.0377
Actn2,ENSMUST00000064204.14,mmu-miR-3473b,nucleus_positive,0.0252
Actn2,ENSMUST00000110616.2,mmu-miR-149-3p,nucleoplasm_negative,0.0169
Actn2,ENSMUST00000110616.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0196
Actn2,ENSMUST00000110616.2,mmu-miR-3473b,nucleus_positive,0.0252
Actn2,ENSMUST00000110616.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0442
Actn2,ENSMUST00000168193.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0196
Actn2,ENSMUST00000168193.8,mmu-miR-3473b,nucleus_positive,0.0252
Actn2,ENSMUST00000168193.8,mmu-miR-149-3p,nucleoplasm_negative,0.0393
Actn2,ENSMUST00000168193.8,mmu-miR-6919-3p,nucleoplasm_negative,0.04
Actn2,ENSMUST00000168193.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0442
Actn2,ENSMUST00000221162.3,mmu-miR-149-3p,nucleoplasm_negative,0.0393
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.000151
Adam12,ENSMUST00000067680.11,mmu-miR-466f-3p,chromatin_positive,0.000305
Adam12,ENSMUST00000067680.11,mmu-miR-466i-3p,chromatin_positive,0.000642
Adam12,ENSMUST00000067680.11,mmu-miR-328-5p,nucleoplasm_positive,0.0221
Adam12,ENSMUST00000067680.11,mmu-miR-466i-3p,chromatin_positive,0.000899
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.00117
Adam12,ENSMUST00000067680.11,mmu-miR-466n-5p,nucleus_positive,0.0104
Adam12,ENSMUST00000067680.11,mmu-miR-466n-5p,nucleus_positive,0.0104
Adam12,ENSMUST00000067680.11,mmu-miR-7669-3p,extracellular_positive,0.0498
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.0026
Adam12,ENSMUST00000067680.11,mmu-miR-466m-3p,chromatin_positive,0.00411
Adam12,ENSMUST00000067680.11,mmu-miR-467f,chromatin_positive,0.00626
Adam12,ENSMUST00000067680.11,mmu-miR-5126,nucleus_positive,0.0265
Adam12,ENSMUST00000067680.11,mmu-miR-466f-3p,chromatin_positive,0.00782
Adam12,ENSMUST00000067680.11,mmu-miR-466i-3p,chromatin_positive,0.00964
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.0103
Adam12,ENSMUST00000067680.11,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000067680.11,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000067680.11,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000067680.11,mmu-miR-466f-3p,chromatin_positive,0.0125
Adam12,ENSMUST00000067680.11,mmu-miR-5126,nucleus_positive,0.0345
Adam12,ENSMUST00000067680.11,mmu-miR-466m-3p,chromatin_positive,0.0157
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.0173
Adam12,ENSMUST00000067680.11,mmu-miR-466i-3p,chromatin_positive,0.0199
Adam12,ENSMUST00000067680.11,mmu-miR-466n-5p,nucleus_positive,0.0264
Adam12,ENSMUST00000067680.11,mmu-miR-466n-5p,nucleus_positive,0.027
Adam12,ENSMUST00000067680.11,mmu-miR-762,nucleus_positive,0.0481
Adam12,ENSMUST00000067680.11,mmu-miR-762,nucleus_positive,0.0498
Adam12,ENSMUST00000067680.11,mmu-miR-467f,chromatin_positive,0.0381
Adam12,ENSMUST00000067680.11,mmu-miR-466f-3p,chromatin_positive,0.0312
Adam12,ENSMUST00000067680.11,mmu-miR-466f-3p,chromatin_positive,0.0312
Adam12,ENSMUST00000067680.11,mmu-miR-466m-3p,chromatin_positive,0.0456
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.0473
Adam12,ENSMUST00000067680.11,mmu-miR-669c-3p,chromatin_positive,0.0482
Adam12,ENSMUST00000138363.2,mmu-miR-5126,nucleus_positive,0.0265
Adam12,ENSMUST00000138363.2,mmu-miR-346-3p,mitochondrion_negative,0.0439
Adam12,ENSMUST00000138363.2,mmu-miR-466n-5p,nucleus_positive,0.0264
Adam12,ENSMUST00000138363.2,mmu-miR-762,nucleus_positive,0.0481
Adam12,ENSMUST00000138363.2,mmu-miR-762,nucleus_positive,0.0498
Adam12,ENSMUST00000154144.2,mmu-miR-1893,ribosome_negative,0.0323
Adam12,ENSMUST00000154144.2,mmu-miR-466n-5p,nucleus_positive,0.0104
Adam12,ENSMUST00000154144.2,mmu-miR-1249-5p,ribosome_negative,0.0487
Adam12,ENSMUST00000154144.2,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000154144.2,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000154144.2,mmu-miR-5126,nucleus_positive,0.0343
Adam12,ENSMUST00000154144.2,mmu-miR-5126,nucleus_positive,0.0345
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,2.42e-07
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,7.21e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,5.85e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,3.64e-06
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,5.86e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00176
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00176
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,9.76e-05
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000122
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000153
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.000151
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.000305
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.000305
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.000305
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.000445
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.000565
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.000649
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.00238
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00447
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.00344
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.00344
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.00353
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.00319
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.0043
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.0043
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.00626
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.00399
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.00553
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.00553
Adamts12,ENSMUST00000061318.9,mmu-miR-7648-3p,nucleus_positive,0.0483
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.00662
Adamts12,ENSMUST00000061318.9,mmu-miR-466i-3p,chromatin_positive,0.00733
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0132
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.0144
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.0124
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.017
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.0163
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.0198
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.0184
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.0194
Adamts12,ENSMUST00000061318.9,mmu-miR-762,nucleus_positive,0.0482
Adamts12,ENSMUST00000061318.9,mmu-miR-467f,chromatin_positive,0.0328
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0332
Adamts12,ENSMUST00000061318.9,mmu-miR-466m-3p,chromatin_positive,0.034
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.0312
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.0359
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0468
Adamts12,ENSMUST00000061318.9,mmu-miR-466n-5p,nucleus_positive,0.0474
Adamts12,ENSMUST00000061318.9,mmu-miR-466f-3p,chromatin_positive,0.0384
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.0409
Adamts12,ENSMUST00000061318.9,mmu-miR-669c-3p,chromatin_positive,0.0482
Adamts12,ENSMUST00000227189.2,mmu-miR-7648-3p,nucleus_positive,0.0483
Adamts12,ENSMUST00000228940.2,mmu-miR-7648-3p,nucleus_positive,0.0483
Adamts12,ENSMUST00000228940.2,mmu-miR-466n-5p,nucleus_positive,0.0238
Adamts20,ENSMUST00000035342.11,mmu-miR-7079-5p,nucleus_positive,0.0489
Adamts20,ENSMUST00000035342.11,mmu-miR-466n-5p,nucleus_positive,0.0104
Adamts20,ENSMUST00000035342.11,mmu-miR-762,nucleus_positive,0.0335
Adamts20,ENSMUST00000035342.11,mmu-miR-762,nucleus_positive,0.0376
Adamts20,ENSMUST00000035342.11,mmu-miR-466n-5p,nucleus_positive,0.0321
Adamts20,ENSMUST00000129195.8,mmu-miR-762,nucleus_positive,0.0335
Adamts20,ENSMUST00000129195.8,mmu-miR-466n-5p,nucleus_positive,0.0321
Adamts20,ENSMUST00000155907.2,mmu-miR-7079-5p,nucleus_positive,0.0489
Adamts20,ENSMUST00000155907.2,mmu-miR-466n-5p,nucleus_positive,0.0104
