Gene,Transcript,Cluster
Ap2b1,ENSMUST00000018875.13,nucleoplasm_negative
Ap2b1,ENSMUST00000132178.3,nucleus_positive
Ap2b1,ENSMUST00000142680.2,ribosome_negative
Ap3d1,ENSMUST00000020420.9,ER_negative
Ap3d1,ENSMUST00000020420.9,chromatin_positive
Ap3d1,ENSMUST00000020420.9,nucleoplasm_positive
Ap3d1,ENSMUST00000218125.2,nucleoplasm_negative
Ap3d1,ENSMUST00000218125.2,nucleus_positive
Ap3d1,ENSMUST00000218125.2,ribosome_negative
Ap3d1,ENSMUST00000218610.2,nucleoplasm_negative
Ap4m1,ENSMUST00000019662.11,chromatin_positive
Ap4m1,ENSMUST00000019662.11,mitochondrion_negative
Ap4m1,ENSMUST00000019662.11,nucleoplasm_negative
Ap4m1,ENSMUST00000019662.11,nucleus_positive
Ap4m1,ENSMUST00000143241.8,nucleus_positive
Ap4m1,ENSMUST00000157031.2,nucleus_positive
Apba2,ENSMUST00000032732.15,ER_negative
Apba2,ENSMUST00000032732.15,nucleus_positive
Apba2,ENSMUST00000205604.2,ER_negative
Apba2,ENSMUST00000205613.2,nucleoplasm_negative
Apba2,ENSMUST00000205613.2,nucleus_positive
Apba2,ENSMUST00000206061.2,nucleus_positive
Apba2,ENSMUST00000206246.2,ER_negative
Apba2,ENSMUST00000206246.2,nucleus_positive
App,ENSMUST00000005406.12,chromatin_positive
App,ENSMUST00000226232.2,chromatin_positive
App,ENSMUST00000226801.2,chromatin_positive
App,ENSMUST00000227021.2,chromatin_positive
App,ENSMUST00000227723.2,chromatin_positive
App,ENSMUST00000227723.2,nucleus_positive
App,ENSMUST00000227737.2,chromatin_positive
App,ENSMUST00000227990.2,chromatin_positive
App,ENSMUST00000228509.2,nucleus_positive
Aqr,ENSMUST00000043160.13,chromatin_positive
Aqr,ENSMUST00000043160.13,nucleus_positive
Aqr,ENSMUST00000102543.5,chromatin_positive
Aqr,ENSMUST00000102543.5,nucleus_positive
Aqr,ENSMUST00000125460.8,nucleoplasm_negative
Aqr,ENSMUST00000125460.8,nucleus_positive
Aqr,ENSMUST00000129504.8,nucleus_positive
Aqr,ENSMUST00000131785.8,chromatin_positive
Aqr,ENSMUST00000131785.8,nucleus_positive
Aqr,ENSMUST00000140441.2,mitochondrion_negative
Aqr,ENSMUST00000147191.8,nucleus_positive
Aqr,ENSMUST00000154317.2,nucleus_positive
Arhgap22,ENSMUST00000111955.2,ER_negative
Arhgap22,ENSMUST00000111955.2,nucleus_positive
Arhgap22,ENSMUST00000111956.9,ER_negative
Arhgap22,ENSMUST00000111956.9,nucleus_positive
Arhgap22,ENSMUST00000131086.3,nucleoplasm_negative
Arhgap22,ENSMUST00000137590.8,ER_negative
Arhgap22,ENSMUST00000137590.8,nucleus_positive
Arhgap22,ENSMUST00000140711.3,nucleus_positive
Arhgap31,ENSMUST00000023487.5,chromatin_positive
Arhgap31,ENSMUST00000023487.5,nucleoplasm_positive
Arhgap31,ENSMUST00000023487.5,nucleus_positive
Arhgap31,ENSMUST00000132697.2,extracellular_positive
Arhgef28,ENSMUST00000109426.3,extracellular_positive
Arhgef28,ENSMUST00000109426.3,nucleoplasm_positive
Arhgef28,ENSMUST00000109426.3,nucleus_positive
Arhgef28,ENSMUST00000223849.2,extracellular_positive
Arhgef28,ENSMUST00000225269.2,cytoplasm_negative
Arhgef28,ENSMUST00000225663.2,cytoplasm_negative
Arhgef28,ENSMUST00000225663.2,extracellular_positive
Arhgef28,ENSMUST00000225663.2,nucleoplasm_positive
Arhgef28,ENSMUST00000225663.2,nucleus_positive
Arhgef28,ENSMUST00000225884.2,extracellular_positive
Arhgef28,ENSMUST00000225884.2,nucleoplasm_positive
Arhgef28,ENSMUST00000225884.2,nucleus_positive
Arhgef28,ENSMUST00000238746.2,cytoplasm_negative
Arhgef28,ENSMUST00000238746.2,nucleus_positive
Arhgef7,ENSMUST00000033908.14,chromatin_positive
Arhgef7,ENSMUST00000033908.14,nucleus_positive
Arhgef7,ENSMUST00000074856.13,chromatin_positive
Arhgef7,ENSMUST00000074856.13,nucleus_positive
Arhgef7,ENSMUST00000098938.9,chromatin_positive
Arhgef7,ENSMUST00000098938.9,nucleus_positive
Arhgef7,ENSMUST00000110904.2,nucleus_positive
Arhgef7,ENSMUST00000110909.9,ER_negative
Arhgef7,ENSMUST00000110909.9,chromatin_positive
Arhgef7,ENSMUST00000110909.9,nucleoplasm_positive
Arhgef7,ENSMUST00000110909.9,nucleus_positive
Arhgef7,ENSMUST00000209686.2,mitochondrion_negative
Arhgef7,ENSMUST00000209686.2,nucleus_positive
Arhgef7,ENSMUST00000210104.2,nucleus_positive
Arhgef7,ENSMUST00000210287.2,extracellular_positive
Arid5b,ENSMUST00000020106.9,nucleus_positive
Arid5b,ENSMUST00000218532.2,mitochondrion_negative
Arid5b,ENSMUST00000218532.2,nucleus_positive
Arid5b,ENSMUST00000219238.2,chromatin_positive
Arid5b,ENSMUST00000219238.2,cytoplasm_positive
Arid5b,ENSMUST00000219238.2,nucleoplasm_positive
Arid5b,ENSMUST00000219238.2,nucleus_positive
Armcx6,ENSMUST00000052431.12,nucleus_positive
Armcx6,ENSMUST00000113194.8,nucleus_positive
Armcx6,ENSMUST00000126075.2,nucleoplasm_negative
Arnt2,ENSMUST00000085077.5,ER_negative
Arnt2,ENSMUST00000085077.5,chromatin_positive
Arnt2,ENSMUST00000085077.5,nucleoplasm_positive
Arnt2,ENSMUST00000085077.5,nucleus_positive
Arnt2,ENSMUST00000207459.2,ER_negative
Arnt2,ENSMUST00000207459.2,nucleoplasm_negative
Arnt2,ENSMUST00000207769.2,mitochondrion_negative
Arnt2,ENSMUST00000207769.2,ribosome_negative
Arnt2,ENSMUST00000208204.2,mitochondrion_negative
Arnt2,ENSMUST00000208232.2,ER_negative
Arnt2,ENSMUST00000208232.2,mitochondrion_negative
Arnt2,ENSMUST00000208232.2,nucleus_positive
Arnt2,ENSMUST00000208392.2,mitochondrion_negative
Arnt2,ENSMUST00000208863.2,mitochondrion_negative
Arnt2,ENSMUST00000208936.2,nucleoplasm_negative
Arnt2,ENSMUST00000208995.2,mitochondrion_negative
Arnt2,ENSMUST00000208995.2,ribosome_negative
Arnt2,ENSMUST00000209133.2,ER_negative
Arnt2,ENSMUST00000209133.2,chromatin_positive
Arnt2,ENSMUST00000209133.2,mitochondrion_negative
Arnt2,ENSMUST00000209133.2,nucleus_positive
Arpc1b,ENSMUST00000085679.13,ER_negative
Arpc1b,ENSMUST00000085679.13,extracellular_positive
Arpc1b,ENSMUST00000085679.13,nucleus_positive
Arpc1b,ENSMUST00000128229.2,nucleoplasm_negative
Arpc1b,ENSMUST00000129033.8,ER_negative
Arpc1b,ENSMUST00000144375.2,extracellular_positive
Arpc1b,ENSMUST00000144375.2,nucleoplasm_negative
Artn,ENSMUST00000070816.9,nucleus_positive
Artn,ENSMUST00000097913.9,nucleoplasm_negative
Artn,ENSMUST00000097913.9,nucleus_positive
Artn,ENSMUST00000150612.2,ER_negative
Asph,ENSMUST00000038564.13,mitochondrion_negative
Asph,ENSMUST00000038564.13,nucleus_positive
Asph,ENSMUST00000078139.13,chromatin_positive
Asph,ENSMUST00000078139.13,nucleus_positive
Asph,ENSMUST00000084912.12,nucleoplasm_negative
Asph,ENSMUST00000084915.11,chromatin_positive
Asph,ENSMUST00000084915.11,extracellular_positive
Asph,ENSMUST00000084915.11,nucleus_positive
Asph,ENSMUST00000098275.9,nucleus_positive
Asph,ENSMUST00000103004.10,nucleoplasm_negative
Asph,ENSMUST00000108333.8,extracellular_positive
Asph,ENSMUST00000108333.8,nucleoplasm_negative
Asph,ENSMUST00000108334.8,extracellular_positive
Asph,ENSMUST00000108334.8,nucleoplasm_negative
Asph,ENSMUST00000108335.8,extracellular_positive
Asph,ENSMUST00000108337.8,chromatin_positive
Asph,ENSMUST00000108337.8,extracellular_positive
Asph,ENSMUST00000108337.8,nucleoplasm_negative
Asph,ENSMUST00000108337.8,nucleus_positive
Asph,ENSMUST00000108339.8,chromatin_positive
Asph,ENSMUST00000108339.8,nucleoplasm_positive
Asph,ENSMUST00000108339.8,nucleus_positive
Asph,ENSMUST00000108340.9,chromatin_positive
Asph,ENSMUST00000108340.9,nucleus_positive
Asph,ENSMUST00000124408.2,extracellular_positive
Asph,ENSMUST00000137375.2,nucleoplasm_negative
Asph,ENSMUST00000146441.8,nucleus_positive
Asph,ENSMUST00000152058.2,nucleoplasm_negative
Asph,ENSMUST00000152526.8,nucleoplasm_negative
Ass1,ENSMUST00000102840.5,nucleoplasm_positive
Ass1,ENSMUST00000126474.7,ribosome_negative
Ass1,ENSMUST00000192802.2,mitochondrion_negative
Ass1,ENSMUST00000192802.2,nucleoplasm_negative
Atad2,ENSMUST00000038194.5,ER_negative
Atad2,ENSMUST00000038194.5,extracellular_positive
Atad2,ENSMUST00000226507.2,nucleus_positive
Atad2,ENSMUST00000226526.2,nucleus_positive
Atad2,ENSMUST00000226649.2,extracellular_positive
Atad2,ENSMUST00000227171.2,nucleus_positive
Atg16l1,ENSMUST00000027512.13,ER_negative
Atg16l1,ENSMUST00000027512.13,chromatin_positive
Atg16l1,ENSMUST00000027512.13,nucleus_positive
Atg16l1,ENSMUST00000113186.8,ER_negative
Atg16l1,ENSMUST00000113186.8,chromatin_positive
Atg16l1,ENSMUST00000113186.8,nucleus_positive
Atg16l1,ENSMUST00000113190.3,ER_negative
Atg16l1,ENSMUST00000113190.3,chromatin_positive
Atg16l1,ENSMUST00000113190.3,nucleus_positive
Atg16l1,ENSMUST00000127884.2,extracellular_positive
Atg16l1,ENSMUST00000133072.8,nucleus_positive
Atg16l1,ENSMUST00000134603.2,nucleus_positive
Atg16l1,ENSMUST00000137638.8,nucleus_positive
Atg16l1,ENSMUST00000151037.8,ER_negative
Atg16l1,ENSMUST00000151037.8,chromatin_positive
Atg16l1,ENSMUST00000151037.8,nucleus_positive
Atl1,ENSMUST00000021466.10,nucleoplasm_positive
Atl1,ENSMUST00000222141.2,chromatin_positive
Atl1,ENSMUST00000222141.2,nucleus_positive
Atp13a2,ENSMUST00000037055.14,ER_negative
Atp13a2,ENSMUST00000037055.14,chromatin_negative
Atp13a2,ENSMUST00000037055.14,nucleus_positive
Atp13a2,ENSMUST00000125797.8,ER_negative
Atp13a2,ENSMUST00000125797.8,nucleus_positive
Atp13a2,ENSMUST00000127833.3,ER_negative
Atp13a2,ENSMUST00000127833.3,chromatin_positive
Atp13a2,ENSMUST00000127833.3,nucleus_positive
Atp13a2,ENSMUST00000135117.2,ER_negative
Atp13a2,ENSMUST00000135117.2,cytoplasm_negative
Atp13a2,ENSMUST00000135117.2,mitochondrion_negative
Atp13a2,ENSMUST00000135117.2,ribosome_negative
Atp13a2,ENSMUST00000137630.3,chromatin_negative
Atp13a2,ENSMUST00000137630.3,nucleus_positive
Atp13a2,ENSMUST00000151517.8,ER_negative
Atp13a2,ENSMUST00000151517.8,chromatin_positive
Atp13a2,ENSMUST00000151517.8,nucleus_positive
Atp13a2,ENSMUST00000156995.8,ER_negative
Atp13a2,ENSMUST00000156995.8,cytoplasm_negative
Atp13a2,ENSMUST00000156995.8,mitochondrion_negative
Atp13a2,ENSMUST00000156995.8,nucleus_positive
Atp13a2,ENSMUST00000156995.8,ribosome_negative
Atp13a2,ENSMUST00000168047.8,ER_negative
Atp13a2,ENSMUST00000168047.8,chromatin_negative
Atp13a2,ENSMUST00000168047.8,cytoplasm_negative
Atp13a2,ENSMUST00000168047.8,mitochondrion_negative
Atp13a2,ENSMUST00000168047.8,nucleus_positive
Atp13a2,ENSMUST00000168047.8,ribosome_negative
Atp13a2,ENSMUST00000170797.2,mitochondrion_negative
Atp1a2,ENSMUST00000085913.11,nucleoplasm_positive
Atp1a2,ENSMUST00000085913.11,nucleus_positive
Atp1a2,ENSMUST00000131751.7,nucleoplasm_positive
Atp1b1,ENSMUST00000027863.13,nucleus_positive
Atp1b1,ENSMUST00000192522.2,nucleus_positive
Atp1b1,ENSMUST00000192522.2,ribosome_negative
Atp5mf,ENSMUST00000162360.8,nucleus_positive
Atp5mf,ENSMUST00000200584.2,ER_negative
Atp5mf,ENSMUST00000200584.2,extracellular_positive
Atp5mf,ENSMUST00000200584.2,nucleoplasm_negative
Atp5mf,ENSMUST00000200584.2,nucleus_positive
Atp6v0a1,ENSMUST00000044721.13,nucleoplasm_positive
Atp6v0a1,ENSMUST00000044721.13,nucleus_positive
Atp6v0a1,ENSMUST00000092663.4,nucleus_positive
Atp6v0a1,ENSMUST00000154896.8,nucleoplasm_positive
Atp6v1b2,ENSMUST00000006435.8,ER_negative
Atp6v1b2,ENSMUST00000006435.8,nucleoplasm_positive
Atp6v1b2,ENSMUST00000153079.8,nucleus_positive
Axl,ENSMUST00000002677.11,chromatin_positive
Axl,ENSMUST00000002677.11,nucleus_positive
Axl,ENSMUST00000085948.11,nucleoplasm_negative
Axl,ENSMUST00000085948.11,nucleus_positive
Axl,ENSMUST00000132989.8,chromatin_positive
Axl,ENSMUST00000132989.8,nucleus_positive
Bcas3,ENSMUST00000092822.5,mitochondrion_positive
Bcas3,ENSMUST00000092822.5,nucleoplasm_positive
Bcas3,ENSMUST00000092822.5,nucleus_positive
Bcas3,ENSMUST00000108056.8,ER_negative
Bcas3,ENSMUST00000108056.8,nucleus_positive
Bcas3,ENSMUST00000108061.8,mitochondrion_positive
Bcas3,ENSMUST00000108061.8,nucleoplasm_positive
Bcas3,ENSMUST00000108061.8,nucleus_positive
Bcas3,ENSMUST00000108062.8,mitochondrion_positive
Bcas3,ENSMUST00000108062.8,nucleoplasm_positive
Bcas3,ENSMUST00000108062.8,nucleus_positive
Bcas3,ENSMUST00000130343.8,nucleus_positive
Bcas3,ENSMUST00000142596.8,mitochondrion_positive
Bcas3,ENSMUST00000142596.8,nucleoplasm_positive
Bcas3,ENSMUST00000142596.8,nucleus_positive
Bcas3,ENSMUST00000145281.2,nucleus_positive
Bcas3,ENSMUST00000154396.8,mitochondrion_positive
Bcas3,ENSMUST00000154396.8,nucleoplasm_positive
Bcas3,ENSMUST00000154396.8,nucleus_positive
Bcat1,ENSMUST00000032402.12,ER_negative
Bcat1,ENSMUST00000032402.12,chromatin_positive
Bcat1,ENSMUST00000032402.12,nucleus_positive
Bcat1,ENSMUST00000111742.8,nucleus_positive
Bcl11b,ENSMUST00000066060.11,ER_negative
Bcl11b,ENSMUST00000066060.11,nucleus_positive
Bcl11b,ENSMUST00000109887.8,ER_negative
Bcl11b,ENSMUST00000109887.8,cytoplasm_negative
Bcl11b,ENSMUST00000109887.8,nucleoplasm_negative
Bcl11b,ENSMUST00000109887.8,nucleus_positive
Bcl11b,ENSMUST00000109891.3,ER_negative
Bcl11b,ENSMUST00000109891.3,cytoplasm_negative
Bcl11b,ENSMUST00000109891.3,nucleus_positive
Bcr,ENSMUST00000164107.3,chromatin_positive
Bcr,ENSMUST00000164107.3,nucleoplasm_positive
Bcr,ENSMUST00000164107.3,nucleus_positive
Bcr,ENSMUST00000218465.2,chromatin_positive
Bgn,ENSMUST00000033741.15,chromatin_positive
Bgn,ENSMUST00000033741.15,nucleus_positive
Bgn,ENSMUST00000130873.3,ER_negative
Bgn,ENSMUST00000130873.3,nucleoplasm_negative
Bgn,ENSMUST00000130873.3,nucleus_positive
Bgn,ENSMUST00000140803.2,mitochondrion_negative
Bgn,ENSMUST00000140803.2,nucleus_positive
Bgn,ENSMUST00000183174.2,nucleoplasm_negative
Bin1,ENSMUST00000025239.9,nucleus_positive
Bin1,ENSMUST00000091967.13,nucleus_positive
Bin1,ENSMUST00000234373.2,nucleus_positive
Bin1,ENSMUST00000234496.2,nucleus_positive
Bin1,ENSMUST00000234857.2,nucleoplasm_negative
Bin1,ENSMUST00000234857.2,nucleus_positive
Bin1,ENSMUST00000234857.2,ribosome_negative
Bin1,ENSMUST00000249875.1,nucleus_positive
Blcap,ENSMUST00000088494.3,nucleoplasm_positive
Blcap,ENSMUST00000088494.3,nucleus_positive
Blcap,ENSMUST00000109528.9,chromatin_positive
