sequence_id,chromatin_prob,cytoplasm_prob,cytosol_prob,endoplasmic reticulum_prob,extracellular region_prob,membrane_prob,mitochondrion_prob,nucleolus_prob,nucleoplasm_prob,nucleus_prob,ribosome_prob,predicted_locations
ENSMUST00000003860.13,0.99999297,1.0,1.0,1.03878746e-10,1.0,0.9999999,0.9999008,0.9999989,1.0,1.0,0.99997735,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000002979.16,0.9750538,1.0,1.0,4.439387e-08,1.0,0.9900856,1.0,1.0,1.9578765e-05,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000002817.12,0.00017796202,0.00043937776,1.0,1.9864364e-11,1.0,0.94265133,0.97132593,0.9998826,0.998831,1.0,0.4773131,cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus
ENSMUST00000003468.10,0.81700057,1.0,1.0,0.00020168339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000002976.5,1.0,1.0,1.0,1.3013158e-05,1.0,1.0,1.0,0.9988985,0.997163,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000003038.12,0.99884295,0.9999999,1.0,3.3209893e-10,1.0,0.9981839,0.9999999,0.99999964,0.963086,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005671.10,4.9923525e-05,1.0,1.0,1.1890054e-06,1.0,0.9999845,0.9999974,0.99999774,1.0,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005815.7,1.0,1.0,1.0,1.312908e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000015800.16,1.0,1.0,1.0,3.5569823e-09,1.0,1.0,1.0,0.9999995,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000006750.8,0.999173,1.0,1.0,6.446738e-09,1.0,1.0,1.0,0.9994074,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000015920.12,0.00028039698,0.9999999,1.0,1.926428e-09,1.0,0.99954826,0.8224503,0.018062467,0.29034084,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleus;ribosome
ENSMUST00000009693.15,0.38882187,1.0,1.0,4.6083336e-15,1.0,0.99999833,0.9999999,1.0,0.9999217,1.0,0.9999975,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005256.14,4.5720485e-06,0.9989397,1.0,5.425886e-15,1.0,0.5443242,1.0,0.99967575,1.4386579e-06,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000016530.14,0.00057296123,0.30346116,1.0,5.6701623e-12,1.0,1.0738446e-05,0.9959227,5.391241e-09,3.709733e-09,1.0,6.0715116e-05,cytosol;extracellular region;mitochondrion;nucleus
ENSMUST00000005532.9,0.0010973106,0.50844485,1.0,4.479719e-17,1.0,0.89520913,0.99988985,0.99975246,0.007845349,1.0,0.9360211,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000004634.7,0.023634072,1.0,1.0,2.438002e-10,1.0,0.019420566,1.0,0.9999995,0.010711302,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000009727.12,0.9999999,1.0,1.0,2.2326434e-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000010804.4,1.0,1.0,1.0,2.141257e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000004326.4,0.999084,1.0,1.0,0.02021212,1.0,1.0,1.0,0.99803084,0.9999994,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000006435.8,1.0,1.0,1.0,3.775604e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000010319.14,5.488148e-05,4.5699167e-06,1.0,1.5758133e-18,1.0,0.9512111,1.1350424e-09,5.5357714e-07,4.4721244e-07,1.0,8.28757e-09,cytosol;extracellular region;membrane;nucleus
ENSMUST00000007266.14,1.0,1.0,1.0,6.0452705e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000016768.12,1.0,1.0,1.0,9.5626645e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005722.14,0.00064787816,1.0,1.0,3.8576175e-07,1.0,0.5115151,1.0,0.1620993,0.96082747,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleoplasm;nucleus;ribosome
ENSMUST00000014505.5,0.0038996818,0.9999999,1.0,4.0872262e-13,1.0,0.037468553,1.0,0.9999373,0.5454117,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000009728.13,3.3003614e-06,0.9999994,1.0,1.0275417e-13,1.0,1.0,0.99986017,1.0,1.0,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000013559.3,0.52249956,1.0,1.0,0.8890354,1.0,8.224824e-06,0.99257964,0.9999069,0.0046550636,0.9999999,0.9867475,chromatin;cytoplasm;cytosol;endoplasmic reticulum;extracellular region;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000008633.15,1.0,1.0,1.0,0.9995969,1.0,1.0,1.0,1.0,0.991155,1.0,1.0,chromatin;cytoplasm;cytosol;endoplasmic reticulum;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005578.13,1.9258227e-08,1.0,1.0,6.9530535e-07,1.0,0.9254514,1.0,0.9918786,0.0014969022,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000005406.12,1.0,1.0,1.0,3.7833657e-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000014990.13,0.063841484,0.24889725,1.0,5.7036103e-13,1.0,0.9935795,1.0,0.96809566,4.672163e-06,1.0,0.9999999,cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000009705.14,0.99944407,1.0,1.0,6.18628e-08,1.0,1.0,1.0,1.0,0.9999975,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000006523.12,8.450269e-13,0.22765876,1.0,1.783377e-18,1.0,1.708758e-11,7.4992865e-09,6.5135843e-15,0.0025598018,0.99999344,0.8679505,cytosol;extracellular region;nucleus;ribosome
ENSMUST00000010753.14,0.0044259843,0.48058704,1.0,1.3422111e-07,1.0,0.9955193,1.0,0.12217917,1.3014852e-07,1.0,0.99941313,cytosol;extracellular region;membrane;mitochondrion;nucleus;ribosome
ENSMUST00000014917.8,0.8821776,0.9940646,1.0,7.6254383e-07,1.0,0.077157885,1.0,1.5775223e-06,1.392536e-06,1.0,0.9999771,chromatin;cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000004673.15,1.251396e-06,3.5902303e-06,1.0,1.1532576e-13,1.0,0.9974541,3.8644262e-07,1.7160691e-07,9.56143e-09,1.0,0.9139517,cytosol;extracellular region;membrane;nucleus;ribosome
ENSMUST00000004745.9,1.0,1.0,1.0,2.1756656e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000005829.13,0.7596431,1.0,1.0,1.5709907e-14,1.0,0.014630828,1.0,0.006800771,3.2813587e-06,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000022682.6,0.7343632,0.09982598,1.0,0.0004234106,1.0,0.99999845,1.0,0.99999976,0.82054347,1.0,1.0,chromatin;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000018887.15,0.15486996,0.99950826,1.0,1.7470896e-18,1.0,0.99334455,1.0,0.9999757,1.0,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020420.9,1.0,1.0,1.0,7.646604e-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000023024.8,0.99999964,0.9999993,1.0,0.98594934,1.0,1.0,1.0,1.0,0.0356591,1.0,1.0,chromatin;cytoplasm;cytosol;endoplasmic reticulum;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000020980.12,1.0,1.0,1.0,3.855047e-17,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020939.16,0.99926335,0.9999999,1.0,3.640196e-16,1.0,0.99557567,1.0,0.98142564,0.9999807,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000022212.9,1.0,1.0,1.0,1.8895146e-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000019043.13,1.0,1.0,1.0,2.2056543e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020081.11,1.0,0.99999976,1.0,9.1969275e-07,1.0,0.9999999,0.999995,0.9998068,0.9995515,1.0,0.50562286,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020461.15,1.6284168e-05,1.0,1.0,1.9803177e-09,1.0,1.0,1.0,0.9999857,1.0,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000019749.4,0.699716,0.0010866739,1.0,1.2120137e-05,1.0,1.0,1.0,0.7296915,0.0040137344,1.0,1.0,chromatin;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000021466.10,6.544971e-14,0.9999989,1.0,3.368148e-15,1.0,0.009865173,0.9999956,0.007261499,0.96411383,1.0,0.999826,cytoplasm;cytosol;extracellular region;mitochondrion;nucleoplasm;nucleus;ribosome
ENSMUST00000020531.9,9.274102e-12,1.1360393e-06,0.9996803,8.0277135e-10,1.0,0.00011369183,0.99780077,1.5773598e-07,7.409936e-17,0.18561615,0.27724487,cytosol;extracellular region;mitochondrion
ENSMUST00000021610.7,0.0023724616,0.8334728,0.9999976,5.282777e-06,1.0,0.079659574,0.99999976,0.00011870724,4.3134864e-06,0.9999902,0.99987066,cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000020350.15,1.7082712e-05,0.00010548367,1.0,5.8713776e-13,1.0,2.7380623e-10,0.9999894,1.4888721e-13,8.657281e-09,1.0,0.99148965,cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000022803.6,9.360161e-06,0.9999987,1.0,6.549898e-07,1.0,1.0,0.9998109,1.0,0.9999999,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020322.12,0.9999995,1.0,1.0,1.9990894e-15,1.0,1.0,1.0,0.9998592,0.99999976,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000017354.13,1.0,1.0,1.0,0.00012490418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000022881.15,0.9999666,1.0,1.0,0.9977069,1.0,0.8617599,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;endoplasmic reticulum;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020537.9,1.0,1.0,1.0,7.6125845e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020830.14,0.22612213,0.99995184,1.0,3.1464692e-10,1.0,0.99998283,0.99999976,0.99998677,0.9999963,1.0,0.99999976,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000021674.7,1.0,1.0,1.0,4.5687126e-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000022725.4,0.9974382,0.00020231918,1.0,3.0937374e-14,1.0,0.8338421,1.0,0.17689486,0.007950147,1.0,0.9982248,chromatin;cytosol;extracellular region;membrane;mitochondrion;nucleus;ribosome
ENSMUST00000020234.14,0.00031423685,0.10383712,1.0,3.0967035e-06,1.0,0.99970573,0.9998584,5.99918e-07,0.98833185,1.0,0.9998203,cytosol;extracellular region;membrane;mitochondrion;nucleoplasm;nucleus;ribosome
ENSMUST00000022476.9,0.9550281,1.0,1.0,9.364613e-16,1.0,1.0,1.0,0.99967015,0.87769586,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000021311.10,1.0,1.0,1.0,3.7253907e-12,1.0,1.0,1.0,0.9937058,0.999998,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000018143.16,0.99999857,1.0,1.0,3.1974666e-12,1.0,1.0,1.0,0.99999976,0.9999999,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000019662.11,0.82741654,0.99997985,1.0,6.6799366e-12,0.9999876,0.9998258,1.3948033e-09,0.042719662,0.09610657,1.0,2.2319066e-08,chromatin;cytoplasm;cytosol;extracellular region;membrane;nucleus
ENSMUST00000021903.3,3.5641774e-11,1.5516749e-05,0.38232973,2.1836805e-11,1.0,1.8170465e-10,0.9997012,2.145262e-08,2.1619417e-09,0.31580934,0.34829938,extracellular region;mitochondrion
ENSMUST00000020106.9,2.3406415e-09,1.1600951e-12,0.9999999,6.8330803e-23,1.0,7.6385805e-13,6.0700415e-08,0.00064576865,2.0359008e-05,0.9999993,2.50495e-10,cytosol;extracellular region;nucleus
ENSMUST00000022287.8,7.1169234e-05,0.99998033,1.0,2.5848126e-16,1.0,0.0032316337,0.94631803,0.17443043,0.617452,1.0,0.9999865,cytoplasm;cytosol;extracellular region;mitochondrion;nucleoplasm;nucleus;ribosome
ENSMUST00000020915.10,0.99560696,1.0,1.0,1.3987828e-10,1.0,0.99999905,0.73923254,0.9950504,0.9999999,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000018274.10,1.0,1.0,1.0,4.4029161e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020718.11,2.0849557e-10,5.453192e-08,1.0,1.5786678e-11,1.0,3.0901062e-09,1.0,0.0003703368,5.2052917e-18,0.99730766,5.230398e-07,cytosol;extracellular region;mitochondrion;nucleus
ENSMUST00000022637.14,1.0,1.0,1.0,1.1507204e-08,1.0,1.0,1.0,0.9999976,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000020157.13,0.9999999,1.0,1.0,3.4110815e-12,1.0,1.0,1.0,1.0,0.99999845,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000021273.13,1.0,1.0,1.0,8.010785e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000021824.8,1.0,1.0,1.0,4.904183e-10,1.0,0.8905502,1.0,1.0,0.9997719,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000021958.6,0.019419003,4.6776468e-06,0.13298789,1.4062647e-18,1.0,0.95514077,6.348845e-07,0.23354663,0.9999951,0.9969717,2.217791e-13,extracellular region;membrane;nucleoplasm;nucleus
ENSMUST00000018700.14,1.4990631e-19,1.7774395e-12,1.9820106e-09,5.120714e-21,1.0,1.797493e-12,5.0211096e-08,1.836174e-17,4.426981e-20,0.10008973,5.3430694e-15,extracellular region
ENSMUST00000018561.14,1.0,1.0,1.0,4.287249e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000023123.15,0.8982863,0.9999783,1.0,5.8435052e-08,1.0,0.95688033,1.0,0.99538213,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000018748.9,1.0,1.0,1.0,4.8561103e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000022428.13,3.992786e-11,1.5031528e-05,1.0,2.3235471e-09,1.0,0.00011444953,1.0,2.5241922e-10,6.0906854e-19,1.0,0.9999989,cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000020721.15,1.0,1.0,1.0,0.00030057048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000023053.12,1.0,1.0,1.0,1.1371865e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000019924.9,0.9959961,0.99856937,1.0,3.7136068e-16,1.0,0.77933586,0.99999976,0.003424269,1.5510632e-14,1.0,0.9999988,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleus;ribosome
ENSMUST00000018361.10,1.1150196e-14,1.42408715e-11,0.9997173,3.1257603e-14,1.0,3.2889036e-10,0.7463705,4.7540736e-15,1.1151436e-09,0.99664426,1.8314087e-05,cytosol;extracellular region;mitochondrion;nucleus
ENSMUST00000019931.12,4.3164073e-11,0.99861026,1.0,2.281431e-14,1.0,4.5161406e-07,1.0,2.5224295e-11,1.7911103e-05,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000018875.13,0.40335587,1.0,1.0,1.5057266e-14,1.0,8.6853564e-05,0.9999939,0.12290015,0.019541688,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000022638.6,1.2979154e-07,3.827515e-05,1.0,4.509454e-11,1.0,3.5232635e-08,0.9929802,1.8445806e-10,4.3048332e-10,1.0,0.0039668623,cytosol;extracellular region;mitochondrion;nucleus
ENSMUST00000020749.13,0.9938455,0.40356892,1.0,6.7681283e-21,1.0,0.9998661,1.5458939e-07,5.434056e-08,0.9998623,1.0,0.07420473,chromatin;cytosol;extracellular region;membrane;nucleoplasm;nucleus
ENSMUST00000017430.12,2.1544661e-24,4.034161e-11,0.00019088923,5.009771e-28,1.0,1.1616223e-05,1.4379231e-10,2.5550042e-21,1.9171573e-17,1.0,2.1114744e-12,extracellular region;nucleus
ENSMUST00000022954.7,0.23735677,0.0018304224,1.0,1.9505818e-10,1.0,1.0,0.64872056,0.9996375,0.4153198,1.0,0.6995734,cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleus;ribosome
ENSMUST00000019133.11,0.99923503,1.0,1.0,5.151979e-08,1.0,0.9984049,1.0,1.0,0.9999653,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000018315.10,1.0,0.9987355,1.0,1.5183584e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.99990237,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000017604.10,4.6730686e-09,0.08097634,1.0,2.3724578e-14,1.0,0.9987356,1.0,0.84962046,1.0,1.0,0.931453,cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
